from_isco,to_isco,missing_skill_uri,missing_skill_label
2221,2512,http://data.europa.eu/esco/skill/a846cb9e-c152-41e7-bd34-45e7ff941e3b,legal requirements of ICT products
2221,2512,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements
2221,2512,http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17,analyse business requirements
2221,2512,http://data.europa.eu/esco/skill/be48353d-25c7-4f86-bea9-7b9e248fbc6e,interpret technical requirements
2221,2512,http://data.europa.eu/esco/skill/c2999f0c-eb37-4cdf-b9b0-82107b628794,style sheet languages
2221,2512,http://data.europa.eu/esco/skill/ca73ac82-867a-4afa-9732-834aebe896ff,ICT system user requirements
2221,2512,http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,execute feasibility study
2221,2512,http://data.europa.eu/esco/skill/d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements
2221,2512,http://data.europa.eu/esco/skill/dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1,build business relationships
2221,2512,http://data.europa.eu/esco/skill/ddfe79e2-c2e3-4ba7-9bdf-3820b4f75b54,identify ICT user needs
2221,2512,http://data.europa.eu/esco/skill/f058bf62-70d1-4f5e-be2a-8b26fac24a96,design graphics
2221,2512,http://data.europa.eu/esco/skill/f28617ad-afdd-4041-814c-216153a38998,analyse software specifications
2221,2512,http://data.europa.eu/esco/skill/f7e2eb04-3e50-4561-bce1-7e51a1fec308,define software architecture
2221,2512,http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779,create data models
2221,2512,http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8,draw design sketches
2221,2512,http://data.europa.eu/esco/skill/fd33c66c-70c4-40e6-b87c-5495bd3bf26e,design user interface
2221,2512,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5,data models
2221,4132,http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f,documentation types
2221,4132,http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,apply statistical analysis techniques
2221,4132,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,database
2221,4132,http://data.europa.eu/esco/skill/50b100ea-74fd-4706-99db-3e4ca55e51b8,perform data cleansing
2221,4132,http://data.europa.eu/esco/skill/86d2e2ea-1ba2-4aa6-b465-8a1f9abc81b8,apply information security policies
2221,4132,http://data.europa.eu/esco/skill/88564d2d-2dc9-4789-864a-f9cb73f389ec,maintain data entry requirements
2221,4132,http://data.europa.eu/esco/skill/99207709-d076-4cce-ba38-e90d3bb28806,resource description framework query language
2221,4132,http://data.europa.eu/esco/skill/9cf681c7-89ec-470c-b651-7fe03786f586,query languages
2221,4132,http://data.europa.eu/esco/skill/f2d57f41-43b4-4f5b-8100-3df5c21eda50,process data
2221,5120,http://data.europa.eu/esco/skill/0ff99f51-40d9-42f1-a1ec-377b2bb5e15f,comply with food safety and hygiene
2221,5120,http://data.europa.eu/esco/skill/210827e3-3129-45a2-8683-70399f3f561f,order supplies
2221,5120,http://data.europa.eu/esco/skill/29b326ea-a9c8-4963-b35a-8541d0cdff77,store raw food materials
2221,5120,http://data.europa.eu/esco/skill/341cf309-746c-4437-ad14-e0a0ee13eacc,receive kitchen supplies
2221,5120,http://data.europa.eu/esco/skill/4b15a965-9bb4-42f1-8e44-1024aeb0b08c,use food preparation techniques
2221,5120,http://data.europa.eu/esco/skill/5e433def-210d-4dfa-bf07-dbf6d04e0eaa,dispose waste
2221,5120,http://data.europa.eu/esco/skill/8c8da904-cdb3-47d9-bfbf-15ade747d9ec,work in a hospitality team
2221,5120,http://data.europa.eu/esco/skill/9ccd8da7-733b-4aff-a49f-94c390aeb618,handover the food preparation area
2221,5120,http://data.europa.eu/esco/skill/a02d7f88-a240-4644-911b-169af470be5a,use reheating techniques
2221,5120,http://data.europa.eu/esco/skill/bb84d739-1b06-477b-9195-251650bb3c14,use culinary finishing techniques
2221,5120,http://data.europa.eu/esco/skill/c42d2a2a-2f55-45ac-beb1-0a8a76412457,use food cutting tools
2221,5120,http://data.europa.eu/esco/skill/c747ab82-9c35-4bf6-ab90-b50b9a53d292,ensure cleanliness of food preparation area
