uri,title,isco_code,description,num_essential_skills,num_optional_skills
http://data.europa.eu/esco/occupation/b2678105-9d5c-403f-b822-274aff706309,sheep breeder,6121,Sheep breeders oversee the production and day-to-day care of sheep. They maintain the health and welfare of sheep.,30,13
http://data.europa.eu/esco/occupation/7aedaa07-3884-4c5b-88f9-80997b2aa54b,welder,7212,"
Welders operate welding equipment in order to join metal workpieces together. They can use fusion welding processes based on different techniques and materials. They also perform simple visual inspection of welds.",31,47
http://data.europa.eu/esco/occupation/1a1ea837-0103-4230-8756-533a77c5f9f4,container equipment assembler,7213,Container equipment assemblers manufacture containers such as boilers or pressure vessels. They read blueprints and technical drawings to assemble parts and to build piping and fittings.,12,24
http://data.europa.eu/esco/occupation/ebe42b55-4801-493f-af18-04a35ebfbb9c,drilling machine operator,7223,"Drilling machine operators set up, program and control drilling machines, designed to drill holes in workpieces using a computer-controlled, rotary-cutting, multipointed cutting tool, inserted into the workpiece axially. They read drilling machine blueprints and tooling instructions, perform regular machine maintenance, and make adjustments to the drilling controls, such as the depth of drills or the rotation speed.",20,33
http://data.europa.eu/esco/occupation/5d46e448-b6bb-48e5-b245-5aad68e06085,oxy fuel burning machine operator,7223,"Oxy fuel burning machine operators set up and tend machines designed to cut, or rather burn off, excess material from the metal workpiece using a torch that heats the metal workpiece to its kindling temperature and subsequently burns it into a metal oxide upon its reaction with an emitted stream of oxygen, flowing out of the workpiece's created kerf as slag.",19,28
http://data.europa.eu/esco/occupation/3b4eb248-6b40-42fe-9d10-cba8ccfe6613,vehicle maintenance attendant,7231,"Vehicle maintenance attendants execute basic tasks such as changing oil, changing filters, changing spark plugs at a vehicle maintenance station.",13,12
http://data.europa.eu/esco/occupation/4ad4024e-d1d3-4dea-b6d1-2c7948111dce,vehicle technician,7231,"Vehicle technicians inspect, test and maintain vehicles, motorcycles, engine tune-ups and tyre replacements. They repair engine failures, lube replacements. Vehicle technicians replace vehicle components and evaluate warranty options. 
 
 ",34,31
http://data.europa.eu/esco/occupation/91373a70-79b6-47a2-aa50-07dfe20dd258,aircraft maintenance technician,7232,"Aircraft maintenance technicians perform preventive maintenance to aircrafts, aircrafts components, engines and assemblies, such as airframes and hydraulic and pneumatic systems. They perform inspections following strict protocols and aviation laws.",29,8
http://data.europa.eu/esco/occupation/6b46ea2f-403a-473c-b2e5-9fcf0c2bd634,fisheries assistant engineer,7233,"Fisheries assistant engineers assist the marine chief engineer with checking operations and maintenance of the propulsion plant, machinery and auxiliary equipment of the ship. They collaborate on security, survival and health care on board, observing the national and international standards of application.",14,6
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,land-based machinery technician,7233,"Land-based machinery technicians maintain, overhaul and repair agricultural equipment and machinery.",12,18
